Date,Location,Opponent,Number,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
2018-12-30,H,Washington State,24,"Moser, Jenna",*,31,5-8,3-4,2-2,3-3,6,1,1,1,1,2,15
2018-12-30,H,Washington State,44,"Peterson, Missy",*,26,3-9,0-3,2-2,1-4,5,4,4,2,0,0,8
2018-12-30,H,Washington State,3,"Henson, Mai-Loni",*,25,1-2,0-1,2-2,1-3,4,1,1,3,0,2,4
2018-12-30,H,Washington State,1,"Johnson, Hannah",*,14,1-8,0-5,0-0,0-2,2,0,1,1,0,0,2
2018-12-30,H,Washington State,53,"Rees, Darcy",,19,7-14,0-1,1-2,6-2,8,1,0,0,0,0,15
2018-12-30,H,Washington State,20,"Rooks, Khayla",,14,1-2,1-2,0-0,0-3,3,0,1,0,0,1,3
2018-12-30,H,Washington State,15,"Van Dyke, Haley",,8,1-4,0-0,0-0,3-0,3,0,0,0,0,2,2
2018-12-30,H,Washington State,25,"Watkins, T.T.",,20,0-4,0-0,0-0,0-1,1,4,0,1,0,0,0
2018-12-30,H,Washington State,35,"Griggsby, Alexis",,12,0-0,0-0,0-0,0-2,2,0,1,0,0,1,0
2018-12-30,H,Washington State,12,"Hagstrom, Montana",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2019-01-04,A,Oregon,35,"Griggsby, Alexis",*,33,10-16,6-11,0-0,0-2,2,2,0,4,0,1,26
2019-01-04,A,Oregon,4,"Melgoza, Amber",*,37,10-23,0-4,3-3,0-3,3,2,4,3,1,2,23
2019-01-04,A,Oregon,53,"Rees, Darcy",*,24,4-6,0-1,0-0,3-1,4,3,3,2,1,0,8
2019-01-04,A,Oregon,24,"Moser, Jenna",*,27,3-5,0-0,0-0,0-1,1,1,1,3,0,0,6
2019-01-04,A,Oregon,44,"Peterson, Missy",*,13,0-2,0-1,0-0,0-3,3,4,3,0,0,0,0
2019-01-04,A,Oregon,3,"Henson, Mai-Loni",,15,1-2,1-1,0-0,0-3,3,1,1,1,0,0,3
2019-01-04,A,Oregon,15,"Van Dyke, Haley",,6,1-2,1-1,0-0,0-2,2,0,0,0,0,0,3
2019-01-04,A,Oregon,25,"Watkins, T.T.",,12,1-4,0-0,0-0,1-1,2,3,0,0,0,0,2
2019-01-04,A,Oregon,20,"Rooks, Khayla",,17,0-2,0-1,0-0,0-2,2,0,1,1,0,1,0
2019-01-04,A,Oregon,1,"Johnson, Hannah",,16,0-2,0-0,0-0,1-6,7,1,2,1,0,1,0
2019-01-04,A,Oregon,12,"Hagstrom, Montana",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2019-01-06,A,Oregon State,4,"Melgoza, Amber",*,32,9-24,0-2,2-2,1-6,7,3,3,4,0,2,20
2019-01-06,A,Oregon State,35,"Griggsby, Alexis",*,28,5-9,5-7,0-0,2-2,4,3,2,0,0,3,15
2019-01-06,A,Oregon State,53,"Rees, Darcy",*,20,4-14,0-2,0-0,2-1,3,3,0,3,1,1,8
2019-01-06,A,Oregon State,24,"Moser, Jenna",*,26,2-4,0-1,1-2,3-1,4,4,6,0,0,4,5
2019-01-06,A,Oregon State,44,"Peterson, Missy",*,19,2-9,0-3,0-0,0-2,2,0,0,0,0,1,4
2019-01-06,A,Oregon State,15,"Van Dyke, Haley",,19,1-3,1-1,2-2,3-2,5,0,1,0,0,0,5
2019-01-06,A,Oregon State,25,"Watkins, T.T.",,15,1-2,1-1,1-2,1-0,1,3,0,0,0,1,4
2019-01-06,A,Oregon State,1,"Johnson, Hannah",,16,1-4,1-3,0-0,0-3,3,1,1,3,0,1,3
2019-01-06,A,Oregon State,20,"Rooks, Khayla",,11,1-3,0-2,0-0,1-2,3,0,1,1,0,0,2
2019-01-06,A,Oregon State,3,"Henson, Mai-Loni",,14,0-3,0-2,1-2,1-2,3,2,0,0,0,1,1
2019-01-06,A,Oregon State,12,"Hagstrom, Montana",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2019-01-11,H,Colorado,4,"Melgoza, Amber",*,27,6-14,0-4,3-3,2-2,4,0,2,4,0,3,15
2019-01-11,H,Colorado,25,"Watkins, T.T.",*,22,4-7,1-2,1-1,1-0,1,3,0,2,0,1,10
2019-01-11,H,Colorado,24,"Moser, Jenna",*,27,3-7,2-5,0-0,1-4,5,1,1,0,1,2,8
2019-01-11,H,Colorado,53,"Rees, Darcy",*,20,4-5,0-0,0-1,2-2,4,3,3,2,1,0,8
2019-01-11,H,Colorado,35,"Griggsby, Alexis",*,23,1-6,1-5,0-0,1-3,4,2,0,2,1,1,3
2019-01-11,H,Colorado,44,"Peterson, Missy",,24,4-10,3-6,0-0,2-5,7,2,2,0,0,0,11
2019-01-11,H,Colorado,15,"Van Dyke, Haley",,19,3-4,1-1,2-2,2-0,2,1,3,1,0,2,9
2019-01-11,H,Colorado,3,"Henson, Mai-Loni",,19,2-6,0-3,0-0,0-2,2,1,1,1,0,2,4
2019-01-11,H,Colorado,20,"Rooks, Khayla",,10,0-0,0-0,0-0,0-1,1,1,2,1,0,0,0
2019-01-11,H,Colorado,1,"Johnson, Hannah",,9,0-2,0-2,0-0,0-0,0,1,0,0,0,0,0
2019-01-11,H,Colorado,12,"Hagstrom, Montana",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2019-01-13,H,Utah,4,"Melgoza, Amber",*,25,7-17,0-2,0-0,1-4,5,0,2,3,0,1,14
2019-01-13,H,Utah,53,"Rees, Darcy",*,23,3-8,0-1,0-0,2-1,3,4,1,4,1,0,6
2019-01-13,H,Utah,25,"Watkins, T.T.",*,20,2-6,0-2,0-0,1-0,1,1,2,1,0,0,4
2019-01-13,H,Utah,24,"Moser, Jenna",*,22,1-4,1-2,0-0,0-0,0,0,1,3,0,0,3
2019-01-13,H,Utah,35,"Griggsby, Alexis",*,15,1-3,1-2,0-0,0-1,1,2,0,1,1,3,3
2019-01-13,H,Utah,44,"Peterson, Missy",,26,3-9,1-5,0-0,4-2,6,2,1,4,0,2,7
2019-01-13,H,Utah,20,"Rooks, Khayla",,22,1-3,0-0,0-0,0-3,3,1,0,0,0,0,2
2019-01-13,H,Utah,1,"Johnson, Hannah",,17,1-2,0-1,0-0,0-4,4,2,0,2,0,0,2
2019-01-13,H,Utah,15,"Van Dyke, Haley",,16,1-5,0-1,0-0,0-3,3,0,0,1,0,1,2
2019-01-13,H,Utah,3,"Henson, Mai-Loni",,14,0-2,0-0,0-2,1-1,2,1,0,1,0,0,0
2019-01-13,H,Utah,12,"Hagstrom, Montana",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2019-01-18,A,Stanford,44,"Peterson, Missy",*,25,4-11,1-6,0-0,2-5,7,2,1,3,0,3,9
2019-01-18,A,Stanford,24,"Moser, Jenna",*,24,2-4,1-2,3-4,1-3,4,2,0,4,0,1,8
2019-01-18,A,Stanford,4,"Melgoza, Amber",*,22,4-9,0-1,0-2,0-0,0,2,2,5,0,0,8
2019-01-18,A,Stanford,35,"Griggsby, Alexis",*,21,2-5,1-4,0-0,1-1,2,0,2,2,0,2,5
2019-01-18,A,Stanford,53,"Rees, Darcy",*,14,2-6,1-2,0-0,1-4,5,2,0,2,0,1,5
2019-01-18,A,Stanford,20,"Rooks, Khayla",,18,3-6,2-3,1-2,0-1,1,0,2,2,0,1,9
2019-01-18,A,Stanford,15,"Van Dyke, Haley",,19,1-5,1-2,4-4,2-0,2,0,0,0,1,2,7
2019-01-18,A,Stanford,25,"Watkins, T.T.",,22,1-3,1-1,0-0,1-0,1,0,0,2,0,0,3
2019-01-18,A,Stanford,1,"Johnson, Hannah",,16,0-1,0-1,0-0,0-0,0,2,0,1,0,1,0
2019-01-18,A,Stanford,3,"Henson, Mai-Loni",,16,0-3,0-2,0-0,0-1,1,0,1,0,1,0,0
2019-01-18,A,Stanford,12,"Hagstrom, Montana",,3,0-2,0-2,0-0,0-0,0,0,0,1,0,0,0
2019-01-20,A,California,4,"Melgoza, Amber",*,32,10-22,4-4,3-5,2-3,5,2,4,1,0,1,27
2019-01-20,A,California,44,"Peterson, Missy",*,30,5-7,3-4,2-2,1-1,2,3,3,1,0,0,15
2019-01-20,A,California,24,"Moser, Jenna",*,25,3-9,3-8,0-0,1-1,2,2,2,2,0,1,9
2019-01-20,A,California,53,"Rees, Darcy",*,13,2-4,1-2,0-0,3-0,3,3,0,2,0,0,5
2019-01-20,A,California,35,"Griggsby, Alexis",*,12,0-2,0-1,0-0,0-0,0,3,0,0,0,0,0
2019-01-20,A,California,3,"Henson, Mai-Loni",,22,2-4,2-3,0-0,1-0,1,2,5,3,1,2,6
2019-01-20,A,California,15,"Van Dyke, Haley",,11,2-2,0-0,0-1,1-1,2,0,0,0,0,0,4
2019-01-20,A,California,1,"Johnson, Hannah",,23,1-4,0-1,0-0,0-3,3,2,0,0,0,0,2
2019-01-20,A,California,25,"Watkins, T.T.",,22,1-3,0-0,0-0,0-1,1,1,2,0,0,0,2
2019-01-20,A,California,20,"Rooks, Khayla",,10,0-2,0-0,0-0,1-1,2,1,0,0,0,0,0
2019-01-20,A,California,12,"Hagstrom, Montana",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
